date,active_addresses_count
2023-01-01,720492
2023-01-02,852672
2023-01-03,984940
2023-01-04,924789
2023-01-05,937729
2023-01-06,953581
2023-01-07,807340
2023-01-08,773840
2023-01-09,984100
2023-01-10,1150952
2023-01-11,945470
2023-01-12,1050430
2023-01-13,1074196
2023-01-14,983318
2023-01-15,811063
2023-01-16,971751
2023-01-17,993453
2023-01-18,953948
2023-01-19,935852
2023-01-20,918882
2023-01-21,905450
2023-01-22,863602
2023-01-23,932335
2023-01-24,915811
2023-01-25,922991
2023-01-26,901563
2023-01-27,928369
2023-01-28,862388
2023-01-29,835444
2023-01-30,948343
2023-01-31,948426
2023-02-01,1054557
2023-02-02,1004623
2023-02-03,993120
2023-02-04,977809
2023-02-05,809568
2023-02-06,915864
2023-02-07,933987
2023-02-08,945889
2023-02-09,1074333
2023-02-10,916853
2023-02-11,883953
2023-02-12,876806
2023-02-13,970819
2023-02-14,912315
2023-02-15,994080
2023-02-16,1127027
2023-02-17,1052081
2023-02-18,1054449
2023-02-19,920448
2023-02-20,910033
2023-02-21,1015220
2023-02-22,942922
2023-02-23,1079195
2023-02-24,964183
2023-02-25,817375
2023-02-26,918618
2023-02-27,971028
2023-02-28,985104
2023-03-01,1086910
2023-03-02,943944
2023-03-03,1089648
2023-03-04,907044
2023-03-05,995109
2023-03-06,928914
2023-03-07,1067377
2023-03-08,895631
2023-03-09,930069
2023-03-10,993874
2023-03-11,975440
2023-03-12,891560
2023-03-13,995257
2023-03-14,1028332
2023-03-15,1015004
2023-03-16,893376
2023-03-17,1074437
2023-03-18,972557
2023-03-19,849038
2023-03-20,1023019
2023-03-21,985637
2023-03-22,944070
2023-03-23,915894
2023-03-24,886593
2023-03-25,909390
2023-03-26,838165
2023-03-27,1055338
2023-03-28,977256
2023-03-29,992610
2023-03-30,1018397
2023-03-31,1044871
2023-04-01,1047870
2023-04-02,1015069
2023-04-03,975912
2023-04-04,1126607
2023-04-05,962257
2023-04-06,1038298
2023-04-07,974883
2023-04-08,873000
2023-04-09,936841
2023-04-10,948055
2023-04-11,1160423
2023-04-12,1046999
2023-04-13,1020560
2023-04-14,1016870
2023-04-15,1052383
2023-04-16,838013
2023-04-17,987873
2023-04-18,1149961
2023-04-19,994818
2023-04-20,953756
2023-04-21,1036355
2023-04-22,921038
2023-04-23,842549
2023-04-24,983636
2023-04-25,906982
2023-04-26,893665
2023-04-27,897822
2023-04-28,955033
2023-04-29,811292
2023-04-30,782782
2023-05-01,933809
2023-05-02,815626
2023-05-03,964920
2023-05-04,904617
2023-05-05,831530
2023-05-06,767118
2023-05-07,567445
2023-05-08,691575
2023-05-09,761548
2023-05-10,899670
2023-05-11,832817
2023-05-12,809108
2023-05-13,719504
2023-05-14,836690
2023-05-15,813853
2023-05-16,813434
2023-05-17,838435
2023-05-18,813710
2023-05-19,898269
2023-05-20,741142
2023-05-21,777170
2023-05-22,830833
2023-05-23,851408
2023-05-24,863939
2023-05-25,934639
2023-05-26,962531
2023-05-27,887381
2023-05-28,874230
2023-05-29,905417
2023-05-30,956160
2023-05-31,934567
2023-06-01,920709
2023-06-02,982299
2023-06-03,866525
2023-06-04,895565
2023-06-05,884878
2023-06-06,1030676
2023-06-07,1002967
2023-06-08,974592
2023-06-09,1025999
2023-06-10,943821
2023-06-11,885081
2023-06-12,978234
2023-06-13,939394
2023-06-14,835411
2023-06-15,913181
2023-06-16,962059
2023-06-17,860690
2023-06-18,897404
2023-06-19,909634
2023-06-20,959473
2023-06-21,915404
2023-06-22,1008212
2023-06-23,951874
2023-06-24,1013179
2023-06-25,951595
2023-06-26,1010313
2023-06-27,963926
2023-06-28,836792
2023-06-29,982837
2023-06-30,1062608
2023-07-01,926042
2023-07-02,1010690
2023-07-03,961193
2023-07-04,963114
2023-07-05,969986
2023-07-06,974988
2023-07-07,1033152
2023-07-08,1006754
2023-07-09,980068
2023-07-10,930844
2023-07-11,931508
2023-07-12,953165
2023-07-13,873562
2023-07-14,1002400
2023-07-15,916326
2023-07-16,925365
2023-07-17,951557
2023-07-18,1017135
2023-07-19,961963
2023-07-20,904255
2023-07-21,856403
2023-07-22,925679
2023-07-23,895779
2023-07-24,942591
2023-07-25,941826
2023-07-26,1017946
2023-07-27,943039
2023-07-28,944840
2023-07-29,883630
2023-07-30,1013491
2023-07-31,916255
2023-08-01,988380
2023-08-02,1076907
2023-08-03,1035109
2023-08-04,915811
2023-08-05,993100
2023-08-06,980117
2023-08-07,952715
2023-08-08,876004
2023-08-09,1051782
2023-08-10,953741
2023-08-11,967467
2023-08-12,929964
2023-08-13,867958
2023-08-14,1004609
2023-08-15,1069685
2023-08-16,956823
2023-08-17,1053728
2023-08-18,1020222
2023-08-19,887935
2023-08-20,932504
2023-08-21,1009275
2023-08-22,930845
2023-08-23,934855
2023-08-24,950085
2023-08-25,921331
