date,exchange,role,inflow_btc,outflow_btc,netflow_btc
2023-01-01,binance,cold,0.0008,0,0.0008
2023-01-01,binance,hot,9361.52033793,10191.84772038,-830.32738245
2023-01-01,bitfinex,cold,4100.86426,0,4100.86426
2023-01-02,binance,hot,17015.50247335,9487.30807596,7528.19439739
2023-01-02,bitfinex,cold,2569.67919,0,2569.67919
2023-01-03,binance,hot,9701.12278798,12288.43670265,-2587.31391467
2023-01-03,bitfinex,cold,1235.19618,0,1235.19618
2023-01-04,binance,cold,0.00160854,0,0.00160854
2023-01-04,binance,hot,15257.45680702,13545.837189,1711.61961802
2023-01-04,bitfinex,cold,465.84977,0,465.84977
2023-01-05,binance,hot,11850.4534675,14372.19542249,-2521.74195499
2023-01-06,binance,hot,14668.74600208,16863.98558485,-2195.23958277
2023-01-06,bitfinex,cold,634.85186,0,634.85186
2023-01-07,binance,cold,0,2000,-2000
2023-01-07,binance,hot,8922.65192181,7534.33586481,1388.316057
2023-01-08,binance,hot,7002.89772782,7042.63065616,-39.73292834
2023-01-08,bitfinex,cold,380.5933,0,380.5933
2023-01-09,binance,cold,0.00010057,0,0.00010057
2023-01-09,binance,hot,15641.73849776,17075.19518857,-1433.45669081
2023-01-09,bitfinex,cold,359.9421,0,359.9421
2023-01-10,binance,hot,13807.16046845,15506.61605125,-1699.4555828
2023-01-10,bitfinex,cold,126.85302,0,126.85302
2023-01-11,binance,hot,13253.25262079,15563.35734831,-2310.10472752
2023-01-12,binance,cold,0.0008,0,0.0008
2023-01-12,binance,hot,25224.96065099,21776.34737197,3448.61327902
2023-01-13,binance,hot,22625.76572976,25910.6482087,-3284.88247894
2023-01-13,bitfinex,cold,26496.434659,30610.484351,-4114.049692
2023-01-13,okx,cold,0.01,0,0.01
2023-01-14,binance,hot,28918.92821661,24131.62509816,4787.30311845
2023-01-14,bitfinex,cold,101.20555,0,101.20555
2023-01-15,binance,hot,3133.7291357,9911.4444687,-6777.715333
2023-01-16,binance,hot,22469.12687653,14120.89075728,8348.23611925
2023-01-16,bitfinex,cold,250,0,250
2023-01-17,binance,hot,11066.3217845,11269.0935299,-202.7717454
2023-01-17,bitfinex,cold,22207.315108,25957.315179,-3750.000071
2023-01-18,binance,hot,16028.58855356,14836.38290603,1192.20564753
2023-01-18,bitfinex,cold,2801.11905,0,2801.11905
2023-01-19,binance,hot,56277.51171375,45826.85130642,10450.66040733
2023-01-20,binance,hot,19721.19387721,33609.64797515,-13888.45409794
2023-01-21,binance,cold,0.00000546,0,0.00000546
2023-01-21,binance,hot,17316.07667242,12672.17868487,4643.89798755
2023-01-21,bitfinex,cold,23471.45375046,24758.434158,-1286.98040754
2023-01-22,binance,hot,12082.76157907,11429.24332414,653.51825493
2023-01-23,binance,hot,12481.94888212,11377.70129376,1104.24758836
2023-01-24,binance,hot,12679.55882456,15376.53483532,-2696.97601076
2023-01-24,bitfinex,cold,1000,0,1000
2023-01-25,binance,cold,0.00058486,0,0.00058486
2023-01-25,binance,hot,14458.22506394,15138.03761927,-679.81255533
2023-01-25,bitfinex,cold,21133.252532,22471.453745,-1338.201213
2023-01-26,binance,cold,0.00001,0,0.00001
2023-01-26,binance,hot,13905.1273294,13062.80791605,842.31941335
2023-01-26,bitfinex,cold,0.00001,0,0.00001
2023-01-27,binance,hot,15806.10759404,16392.91195758,-586.80436354
2023-01-28,binance,hot,11333.16313327,10176.37638158,1156.78675169
2023-01-29,binance,hot,8439.96999542,9097.75123285,-657.78123743
2023-01-30,binance,hot,59770.57070028,52355.61205308,7414.9586472
2023-01-30,bitfinex,cold,32388.315476,38766.505036,-6378.18956
2023-01-31,binance,hot,17380.84440246,17449.2970373,-68.45263484
2023-01-31,bitfinex,cold,14505.061814,14505.062972,-0.001158
2023-02-01,binance,hot,17997.80000943,18731.82455529,-734.02454586
2023-02-01,bitfinex,cold,4754.23152,0,4754.23152
2023-02-02,binance,hot,19557.58365411,21425.52249068,-1867.93883657
2023-02-02,bitfinex,cold,1740.53039,0,1740.53039
2023-02-03,binance,hot,13059.25664027,14769.46014968,-1710.20350941
2023-02-04,binance,cold,0.0000055,0,0.0000055
2023-02-04,binance,hot,9599.33235204,9749.15621945,-149.82386741
2023-02-05,binance,hot,7578.14117918,7191.8323442,386.30883498
2023-02-06,binance,hot,11246.87119517,11644.00712742,-397.13593225
2023-02-07,binance,hot,10190.56843848,11039.76420462,-849.19576614
2023-02-08,binance,hot,8877.10708598,9082.33336525,-205.22627927
2023-02-08,bitfinex,cold,0.000093,0,0.000093
2023-02-09,binance,hot,11480.46334784,13260.15407813,-1779.69073029
2023-02-10,binance,cold,0.00000777,0,0.00000777
2023-02-10,binance,hot,22487.709081,14314.62046201,8173.08861899
2023-02-10,bitfinex,cold,0.00000777,0,0.00000777
2023-02-11,binance,cold,0.00000547,0,0.00000547
2023-02-11,binance,hot,7639.71721654,6051.47962351,1588.23759303
2023-02-11,bitfinex,cold,0.00000547,0,0.00000547
2023-02-12,binance,hot,7658.5596137,8827.95421404,-1169.39460034
2023-02-13,binance,cold,0.00001094,0,0.00001094
2023-02-13,binance,hot,13019.88784239,17966.22611843,-4946.33827604
2023-02-13,bitfinex,cold,0.00000547,0,0.00000547
2023-02-14,binance,hot,8283.29801983,12668.32207821,-4385.02405838
2023-02-14,bitfinex,cold,20294.075293,20999.823724,-705.748431
2023-02-14,okx,cold,351,0,351
2023-02-15,binance,hot,20854.91365099,16486.65128664,4368.26236435
2023-02-15,bitfinex,cold,493.9176,0,493.9176
2023-02-16,binance,cold,0.00000547,0,0.00000547
2023-02-16,binance,hot,23338.90979479,17569.63794478,5769.27185001
2023-02-16,bitfinex,cold,255.79244547,0,255.79244547
2023-02-17,binance,cold,0.00234304,0,0.00234304
2023-02-17,binance,hot,16944.79828075,18132.04227606,-1187.24399531
2023-02-17,bitfinex,cold,776.80841,0,776.80841
2023-02-18,binance,hot,10454.03273066,8672.59873165,1781.43399901
2023-02-18,bitfinex,cold,200,0,200
2023-02-19,binance,hot,7304.04291372,7609.27470833,-305.23179461
2023-02-20,binance,hot,10816.17200654,9567.52593254,1248.646074
2023-02-20,bitfinex,cold,974.09588,0,974.09588
2023-02-21,binance,cold,0.00004025,0,0.00004025
2023-02-21,binance,hot,13133.93308544,9969.36405963,3164.56902581
2023-02-21,bitfinex,cold,220.643,0,220.643
2023-02-22,binance,hot,10645.31669559,10299.11578873,346.20090686
2023-02-23,binance,hot,13345.22163273,15601.21919466,-2255.99756193
2023-02-23,bitfinex,cold,0.0005304,0,0.0005304
