date,exchange,reserve_btc
2023-01-01,binance,-830.32658245
2023-01-01,bitfinex,4100.86426
2023-01-02,binance,6697.86701494
2023-01-02,bitfinex,6670.54345
2023-01-03,binance,4110.55310027
2023-01-03,bitfinex,7905.73963
2023-01-04,binance,5822.17512683
2023-01-04,bitfinex,8371.5894
2023-01-05,binance,3300.4307633
2023-01-06,binance,1105.19118053
2023-01-06,bitfinex,9006.44126
2023-01-07,binance,493.50964607
2023-01-08,binance,2453.77430919
2023-01-08,bitfinex,9387.03456
2023-01-09,binance,1020.31771895
2023-01-09,bitfinex,9746.97666
2023-01-10,binance,-679.13796442
2023-01-10,bitfinex,9873.82968
2023-01-11,binance,-2989.24269194
2023-01-12,binance,459.37138708
2023-01-13,binance,-2825.51189186
2023-01-13,bitfinex,5759.779988
2023-01-13,okx,0.01
2023-01-14,binance,1961.79122659
2023-01-14,bitfinex,5860.985538
2023-01-15,binance,-4815.92410641
2023-01-16,binance,3532.31201284
2023-01-16,bitfinex,250
2023-01-17,binance,3329.54026744
2023-01-17,bitfinex,2360.985467
2023-01-18,binance,4521.74591497
2023-01-18,bitfinex,4662.104517
2023-01-19,binance,14972.4063223
2023-01-20,binance,1083.95222436
2023-01-21,binance,3727.85262591
2023-01-21,bitfinex,3875.12410946
2023-01-22,binance,6381.36846684
2023-01-23,binance,7485.6160552
2023-01-24,binance,4788.64004444
2023-01-24,bitfinex,2500
2023-01-25,binance,2108.83048797
2023-01-25,bitfinex,1036.922891
2023-01-26,binance,2951.14991132
2023-01-26,bitfinex,2500.00001
2023-01-27,binance,4364.34253892
2023-01-28,binance,5521.12929061
2023-01-29,binance,4863.34805318
2023-01-30,binance,12278.30670038
2023-01-30,bitfinex,-2841.266659
2023-01-31,binance,12209.85406554
2023-01-31,bitfinex,-5591.267827
2023-02-01,binance,11475.82951968
2023-02-01,bitfinex,-837.036307
2023-02-02,binance,9607.89068311
2023-02-02,bitfinex,903.494083
2023-02-03,binance,7897.6871737
2023-02-04,binance,5747.86632065
2023-02-05,binance,8134.17214127
2023-02-06,binance,7737.03620902
2023-02-07,binance,6887.84044288
2023-02-08,binance,6682.61416361
2023-02-08,bitfinex,0.00009846
2023-02-09,binance,4902.92343332
2023-02-10,binance,11076.01507444
2023-02-10,bitfinex,0.00010623
2023-02-11,binance,12664.25267294
2023-02-11,bitfinex,0.0001117
2023-02-12,binance,13494.855045
2023-02-13,binance,6548.5198075
2023-02-13,bitfinex,0.00011717
2023-02-14,binance,4163.49271058
2023-02-14,bitfinex,197.745652
2023-02-14,okx,351.01
2023-02-15,binance,8531.75507493
2023-02-15,bitfinex,691.663252
2023-02-16,binance,12301.02996348
2023-02-16,bitfinex,947.45581464
2023-02-17,binance,11113.78831121
2023-02-17,bitfinex,1724.264102
2023-02-18,binance,14895.21692864
2023-02-18,bitfinex,2950.00001
2023-02-19,binance,14589.98513403
2023-02-20,binance,15838.63120803
2023-02-20,bitfinex,2698.359982
2023-02-21,binance,17003.20565567
2023-02-21,bitfinex,2919.002982
2023-02-22,binance,19349.4011407
2023-02-23,binance,17093.40357877
2023-02-23,bitfinex,0.00065304
2023-02-24,binance,18942.56534715
2023-02-24,bitfinex,3042.013712
2023-02-25,binance,19989.84989344
2023-02-25,bitfinex,3313.502452
2023-02-26,binance,18456.70754438
2023-02-26,bitfinex,3521.632002
2023-02-27,binance,20343.08470191
2023-02-27,bitfinex,4052.96836
2023-02-28,binance,20832.50335568
2023-02-28,bitfinex,-1397.021717
2023-03-01,binance,20585.38166312
2023-03-01,bitfinex,5601.194273
2023-03-02,binance,18721.60926984
2023-03-02,bitfinex,4880.827923
2023-03-03,binance,17912.12006892
2023-03-04,binance,17202.45975614
2023-03-05,binance,21214.52537697
2023-03-06,binance,23713.75590912
2023-03-06,bitfinex,5221.884283
2023-03-07,binance,26073.48456724
2023-03-07,bitfinex,5434.664243
