date,transactions
2023-01-01,187516
2023-01-02,229347
2023-01-03,272055
2023-01-04,277936
2023-01-05,279391
2023-01-06,276071
2023-01-07,246679
2023-01-08,228488
2023-01-09,287347
2023-01-10,302809
2023-01-11,287494
2023-01-12,315980
2023-01-13,316549
2023-01-14,309880
2023-01-15,252086
2023-01-16,302804
2023-01-17,308715
2023-01-18,300045
2023-01-19,298919
2023-01-20,295822
2023-01-21,287860
2023-01-22,250760
2023-01-23,293709
2023-01-24,292970
2023-01-25,306681
2023-01-26,296263
2023-01-27,303179
2023-01-28,268849
2023-01-29,258583
2023-01-30,309909
2023-01-31,313500
2023-02-01,345561
2023-02-02,340169
2023-02-03,315951
2023-02-04,304495
2023-02-05,254113
2023-02-06,301977
2023-02-07,300429
2023-02-08,316963
2023-02-09,369499
2023-02-10,300092
2023-02-11,277433
2023-02-12,262528
2023-02-13,299329
2023-02-14,302653
2023-02-15,325460
2023-02-16,344711
2023-02-17,321260
2023-02-18,276798
2023-02-19,240406
2023-02-20,270081
2023-02-21,290457
2023-02-22,282319
2023-02-23,290728
2023-02-24,294562
2023-02-25,258413
2023-02-26,277103
2023-02-27,292748
2023-02-28,332358
2023-03-01,381932
2023-03-02,330047
2023-03-03,355273
2023-03-04,306300
2023-03-05,286638
2023-03-06,316016
2023-03-07,362082
2023-03-08,292493
2023-03-09,336854
2023-03-10,329334
2023-03-11,319707
2023-03-12,265555
2023-03-13,333107
2023-03-14,327892
2023-03-15,345059
2023-03-16,295049
2023-03-17,338823
2023-03-18,296890
2023-03-19,269131
2023-03-20,341288
2023-03-21,327932
2023-03-22,297575
2023-03-23,295245
2023-03-24,292095
2023-03-25,290197
2023-03-26,261243
2023-03-27,296557
2023-03-28,316281
2023-03-29,334637
2023-03-30,326347
2023-03-31,308386
2023-04-01,319646
2023-04-02,341622
2023-04-03,332870
2023-04-04,421130
2023-04-05,346885
2023-04-06,354019
2023-04-07,355031
2023-04-08,318505
2023-04-09,278404
2023-04-10,289625
2023-04-11,385002
2023-04-12,338102
2023-04-13,332042
2023-04-14,315959
2023-04-15,276185
2023-04-16,232268
2023-04-17,316193
2023-04-18,312522
2023-04-19,301722
2023-04-20,296683
2023-04-21,352218
2023-04-22,354752
2023-04-23,432760
2023-04-24,360173
2023-04-25,369843
2023-04-26,436461
2023-04-27,418912
2023-04-28,483522
2023-04-29,486031
2023-04-30,568516
2023-05-01,682281
2023-05-02,457708
2023-05-03,489559
2023-05-04,491123
2023-05-05,411429
2023-05-06,601134
2023-05-07,607883
2023-05-08,575051
2023-05-09,598256
2023-05-10,671668
2023-05-11,546549
2023-05-12,509159
2023-05-13,575640
2023-05-14,631677
2023-05-15,526379
2023-05-16,566462
2023-05-17,583454
2023-05-18,476704
2023-05-19,515474
2023-05-20,423736
2023-05-21,486625
2023-05-22,499281
2023-05-23,519870
2023-05-24,405521
2023-05-25,460167
2023-05-26,532373
2023-05-27,471633
2023-05-28,496158
2023-05-29,550324
2023-05-30,515246
2023-05-31,421579
2023-06-01,355986
2023-06-02,479437
2023-06-03,381453
2023-06-04,364020
2023-06-05,359254
2023-06-06,462072
2023-06-07,433781
2023-06-08,407006
2023-06-09,387084
2023-06-10,365369
2023-06-11,399201
2023-06-12,370634
2023-06-13,410483
2023-06-14,330658
2023-06-15,423069
2023-06-16,512202
2023-06-17,475252
2023-06-18,439868
2023-06-19,415604
2023-06-20,447715
2023-06-21,363280
2023-06-22,392041
2023-06-23,374001
2023-06-24,361437
2023-06-25,382769
2023-06-26,403979
2023-06-27,434858
2023-06-28,331278
2023-06-29,438193
2023-06-30,445197
2023-07-01,324274
2023-07-02,309920
2023-07-03,328114
2023-07-04,375807
2023-07-05,496227
2023-07-06,392688
2023-07-07,556014
2023-07-08,573697
2023-07-09,594265
2023-07-10,507115
2023-07-11,432293
2023-07-12,478320
